Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
20192,0.0,0.0,0,0,0,0,0,0,0,0,0,0
20193,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20194,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20195,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20196,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20197,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20198,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20199,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20200,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20201,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20202,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20203,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20204,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20205,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20206,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20207,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20208,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20209,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20210,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
20211,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20212,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20213,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20214,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20215,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20216,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20217,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20218,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20219,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20220,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20221,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20222,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20223,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20224,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20225,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20226,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20227,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20228,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20229,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20230,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20231,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20232,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20233,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20234,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20235,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20236,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20237,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20238,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20239,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20240,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20241,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20242,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20243,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20244,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20245,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20246,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20247,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20248,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20249,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20250,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20251,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20252,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20253,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20254,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20255,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20256,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20257,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20258,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20259,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20260,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20261,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
20262,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
