Left Belt Velocity Profile:
0.0,0.25,0.5,0.75,1.0,1.0
Right Belt Velocity Profile:
0.0,0.25,0.5,0.75,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
12995,0.0,0.0,0,0,0,0,0,0,0,0,0,0
12996,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
12997,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
12998,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
12999,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13000,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13001,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13002,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13003,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13004,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13005,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13006,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13007,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13008,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13009,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13010,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13011,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13012,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13013,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13014,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13015,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13016,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13017,0.0,0.0,0,0,0,0,0,nan,nan,0,0,0
13018,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13019,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13020,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13021,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13022,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13023,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13024,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13025,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13026,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13027,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13028,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13029,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13030,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13031,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13032,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13033,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13034,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13035,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13036,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13037,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13038,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13039,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13040,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13041,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13042,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13043,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13044,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13045,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13046,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13047,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13048,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13049,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13050,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13051,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13052,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13053,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13054,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13055,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13056,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13057,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13058,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13059,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13060,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13061,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13062,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13063,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13064,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13065,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13066,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13067,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13068,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13069,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13070,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13071,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13072,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13073,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13074,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13075,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13076,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13077,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13078,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13079,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13080,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13081,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13082,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13083,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13084,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13085,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13086,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13087,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13088,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13089,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13090,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
13091,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
