Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
37984,0.0,22.642265,0,0,0,0,0,0,0,0,0,0
37985,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
37986,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
37987,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
37988,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
37989,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
37990,0.0,20.994316,0,0,0,0,0,nan,nan,0,0,0
37991,0.0,20.994316,0,0,0,0,0,nan,nan,0,0,0
37992,0.0,25.388847,0,0,0,0,0,nan,nan,0,0,0
37993,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
37994,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
37995,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
37996,0.0,24.290215,0,0,0,0,0,nan,nan,0,0,0
37997,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
37998,0.0,22.092949,0,0,0,0,0,nan,nan,0,0,0
37999,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
38000,0.0,24.839531,0,0,0,0,0,nan,nan,0,0,0
38001,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
38002,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
38003,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38004,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38005,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38006,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38007,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38008,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38009,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38010,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38011,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38012,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38013,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38014,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38015,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38016,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38017,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38018,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38019,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38020,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38021,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38022,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
38023,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38024,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
38025,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38026,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38027,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38028,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38029,0.0,20.445,0,0,0,0,0,nan,nan,nan,nan,nan
38030,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38031,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38032,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38033,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38034,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38035,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38036,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38037,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38038,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
38039,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38040,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38041,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38042,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38043,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38044,0.0,0.0,0,0,0,0,0,nan,nan,nan,nan,nan
38045,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38046,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38047,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38048,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38049,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38050,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38051,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38052,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38053,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38054,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38055,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
38056,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38057,0.0,23.191582,0,0,0,0,0,nan,nan,0,0,0
38058,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38059,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38060,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38061,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38062,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38063,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38064,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38065,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38066,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38067,0.0,25.388847,0,0,0,0,0,nan,nan,nan,nan,nan
38068,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38069,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38070,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38071,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38072,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38073,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38074,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
38075,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38076,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38077,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38078,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38079,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38080,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38081,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
38082,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38083,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38084,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38085,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38086,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38087,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38088,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
38089,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38090,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38091,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
38092,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
